"Source:","C:\Users\J.Verkade\OneDrive\KiCad\Projects\FOX-PDA-v1 controller shield\FOX-PDA-v1 controller shield\FOX-PDA-v1 controller shield.kicad_sch"
"Date:","21-6-2023 20:30:07"
"Tool:","Eeschema (6.0.10)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","21"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C2, C3, ","3","10u","C_Small","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor, small symbol",""
"H1, H2, H3, H4, ","4","MountingHole_Pad","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","Mounting Hole with connection",""
"J1, ","1","SLW-108-01-T-S","SLW-108-01-T-S","SamacSys_Parts:SLW-108-01-X-S","8 Position, .100&quot; Tiger Buy&trade; Low Profile Socket Strip, Single-Row",""
"J2, J3, ","2","SLW-110-01-T-S","SLW-110-01-T-S","SamacSys_Parts:SLW-110-01-X-S","10 Position, .100&quot; Tiger Buy&trade; Low Profile Socket Strip, Single-Row",""
"J4, ","1","SLW-106-01-T-S","SLW-106-01-T-S","SamacSys_Parts:SLW-106-01-X-S","6 Position, .100&quot; Tiger Buy&trade; Low Profile Socket Strip, Single-Row",""
"LED1, LED2, LED3, ","3","150060AS75000","150060AS75000","SamacSys_Parts:LEDC1608X80N","2.4 V Amber LED 1608 (0603)  SMD, Wurth Elektronik WL-SMCW 150060AS75000",""
"R1, R2, R3, R4, R5, R6, ","6","5k","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol",""
"S1, ","1","THB001P","THB001P","SamacSys_Parts:THB001P","THUMBSTICK, 0.05A, 12VDC, 2 AXIS, PCB; No. of Axes:2; Track Resistance:10kohm; Supply Voltage Max:-; No. of Switch Positions:-; Contact Current AC Max:-; Contact Voltage AC Max:50V; Rotation Electrical Angle:36",""
